64kB, 64kB, 256kB, 1, 1, 4, 32, 0.064634, 0.000001, 0.991352, 50.955410
64kB, 64kB, 256kB, 1, 2, 4, 32, 0.064634, 0.000001, 0.991353, 50.955460
64kB, 64kB, 256kB, 1, 4, 4, 32, 0.064634, 0.000001, 0.991354, 50.955510
64kB, 64kB, 256kB, 1, 32, 4, 32, 0.064634, 0.000001, 0.991354, 50.955510
64kB, 64kB, 256kB, 2, 1, 4, 32, 0.064203, 0.000001, 0.998104, 51.290424
64kB, 64kB, 256kB, 2, 2, 4, 32, 0.064203, 0.000001, 0.998105, 51.290474
64kB, 64kB, 256kB, 2, 4, 4, 32, 0.064203, 0.000001, 0.998106, 51.290524
64kB, 64kB, 256kB, 2, 32, 4, 32, 0.064203, 0.000001, 0.998106, 51.290524
64kB, 64kB, 256kB, 4, 1, 4, 32, 0.064205, 0.000001, 0.998095, 51.289986
64kB, 64kB, 256kB, 4, 2, 4, 32, 0.064205, 0.000001, 0.998096, 51.290036
64kB, 64kB, 256kB, 4, 4, 4, 32, 0.064205, 0.000001, 0.998096, 51.290036
64kB, 64kB, 256kB, 4, 32, 4, 32, 0.064205, 0.000001, 0.998096, 51.290036
64kB, 64kB, 256kB, 32, 1, 4, 32, 0.064206, 0.000001, 0.998047, 51.287592
64kB, 64kB, 256kB, 32, 2, 4, 32, 0.064206, 0.000001, 0.998048, 51.287642
64kB, 64kB, 256kB, 32, 4, 4, 32, 0.064206, 0.000001, 0.998049, 51.287692
64kB, 64kB, 256kB, 32, 32, 4, 32, 0.064206, 0.000001, 0.998049, 51.287692
