64kB, 64kB, 256kB,1,1,2,32,0.064634,0.000001,0.992036,50.98961
64kB, 64kB, 256kB,1,2,2,32,0.064634,0.000001,0.992036,50.98961
64kB, 64kB, 256kB,1,4,2,32,0.064634,0.000001,0.992037,50.98966
64kB, 64kB, 256kB,1,32,2,32,0.064634,0.000001,0.992037,50.98966
64kB, 64kB, 256kB,2,1,2,32,0.064203,0.000001,0.998703,51.320374
64kB, 64kB, 256kB,2,2,2,32,0.064203,0.000001,0.998704,51.320424
64kB, 64kB, 256kB,2,4,2,32,0.064203,0.000001,0.998705,51.320474
64kB, 64kB, 256kB,2,32,2,32,0.064203,0.000001,0.998705,51.320474
64kB, 64kB, 256kB,4,1,2,32,0.064205,0.000001,0.998678,51.319136
64kB, 64kB, 256kB,4,2,2,32,0.064205,0.000001,0.998679,51.319186
64kB, 64kB, 256kB,4,4,2,32,0.064205,0.000001,0.99868,51.319236
64kB, 64kB, 256kB,4,32,2,32,0.064205,0.000001,0.99868,51.319236
64kB, 64kB, 256kB,32,1,2,32,0.064206,0.000001,0.998629,51.316692
64kB, 64kB, 256kB,32,2,2,32,0.064206,0.000001,0.99863,51.316742
64kB, 64kB, 256kB,32,4,2,32,0.064206,0.000001,0.998631,51.316792
64kB, 64kB, 256kB,32,32,2,32,0.064206,0.000001,0.998631,51.316792
